url_length,has_at_symbol,num_dots,is_https,num_hyphens,has_ip_address,num_suspicious_keywords,num_input_fields,has_password_field,form_action_mismatch,num_external_links,has_hidden_fields,num_iframes,url_entropy,domain_age_days,label
79,0,1,1,2,0,1,2,0,0,3,0,1,2.058343718370239,250,0.0
78,0,3,1,2,0,1,0,0,0,9,1,0,3.1999875088333023,2449,0.0
26,0,1,1,2,0,1,0,1,0,3,0,1,3.0630822556228763,1117,0.0
36,0,2,1,2,0,1,4,0,0,3,0,0,2.175660847257917,3124,0.0
110,1,6,0,6,1,3,17,1,1,13,1,0,3.9735816946557327,49,1.0
29,0,1,1,2,0,1,1,0,0,5,0,1,2.8414347492457193,3357,0.0
26,0,2,1,2,0,1,5,0,0,7,0,0,2.733059252587403,1797,0.0
63,0,3,1,2,0,0,0,0,1,7,0,1,3.2797179748378875,1055,0.0
61,0,2,1,0,0,1,5,1,1,2,0,0,2.1840656658952717,3281,0.0
86,1,4,1,6,1,3,4,0,1,29,0,2,3.7612350385930946,145,1.0
74,0,3,0,2,0,0,1,0,0,4,0,0,2.481322098554965,2443,0.0
113,1,9,0,3,0,2,12,1,0,15,0,3,4.530784994703015,33,1.0
65,0,1,1,2,0,1,2,1,0,3,0,0,2.8707789150145553,436,0.0
59,0,1,1,1,0,0,0,0,0,4,0,1,2.874650426946199,1067,0.0
22,0,1,1,1,0,1,6,0,0,6,0,1,3.15211097871593,2711,0.0
24,0,1,1,1,0,0,7,1,0,6,0,1,2.1204746719178678,3231,0.0
190,1,13,0,9,0,4,7,1,0,6,1,3,4.9974781348564346,69,1.0
44,0,2,0,1,0,0,4,1,0,6,0,1,2.323662494664034,1852,0.0
32,0,2,1,2,0,0,1,0,0,9,0,0,2.1529525534443854,1245,0.0
235,0,13,0,9,1,2,16,1,0,13,1,1,4.431839795720251,0,1.0
74,1,2,1,0,0,0,0,1,0,6,0,1,3.23959816061695,558,0.0
151,1,3,0,9,1,3,4,1,1,18,1,0,4.3775527530779925,86,1.0
83,1,13,0,8,0,2,3,1,1,26,1,1,4.048848947926711,153,1.0
42,0,3,0,0,0,0,7,0,0,0,0,1,3.4815066908502383,1726,0.0
172,1,11,0,3,1,2,7,1,1,15,1,2,3.637666409706764,34,1.0
156,0,5,0,2,1,4,5,1,1,20,1,3,4.725335434256253,136,1.0
68,1,4,0,5,1,4,16,1,0,10,0,2,4.574909448440047,36,1.0
25,0,2,1,2,0,1,6,1,0,5,0,0,3.0600255435576855,2343,0.0
77,0,2,0,0,0,1,4,0,0,9,0,0,3.122876520505299,950,0.0
36,0,1,1,1,0,0,2,0,0,9,0,0,2.842775979567948,1014,0.0
105,1,11,0,4,0,3,16,1,1,27,0,1,4.920949999130101,136,1.0
149,1,6,1,3,1,3,13,0,0,26,0,0,4.166941486870857,86,1.0
